居民消费价格指数,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
2016年1月,101.2,101.8,101.8,101,101.1,101.5,101.7,101.5,102.5,102.3,102,101.7,101.2,101.2,101.7,101.5,101.3,101.1,102,101.7,101.8,101.4,101.4,101.2,101.3,101.4,101.2,100.8,101.3,100.3,100.7
2016年2月,101.3,102.1,101.5,101.5,101.3,101.8,101.9,101.9,102.8,102.5,102.5,102.6,102.9,102.5,102,102.2,102.3,102.1,103.3,102.7,103.2,102.1,102.2,101.8,101.8,101.7,102.1,101.7,101.8,101.5,101.4
2016年3月,101.6,102.2,101.8,101.1,101.2,101.9,101.6,101.9,103.5,102.5,102.3,102.5,102.2,102.1,102.5,102.4,102.3,102.2,102.4,102.2,102.5,102.6,102.3,101.8,101.9,102.1,102,101.9,102.3,101.6,101.7
2016年4月,101.4,101.8,101.6,101.1,101.6,101.9,101.8,101.9,103.4,102.3,102,101.6,102.2,102.3,102.1,102.3,102.6,102.3,102.9,102.3,102.3,102.7,102.3,101.8,102.2,103,101.7,102.1,102.6,100.9,101.4
2016年5月,100.9,101.3,101.3,101,101.3,101.7,101.6,101.4,103,102.2,101.5,101.3,101.5,101.9,101.6,101.9,102.3,101.9,102.2,101.8,102.5,102.1,101.9,101.2,101.9,102.9,101.2,101.6,102.3,100.7,101
2016年6月,100.7,101.1,101,100.9,101.1,101.4,101.3,101.5,103.2,102.2,101.5,101.4,101.2,101.6,101.5,101.9,102.1,101.6,101.8,101.6,102.3,101.8,101.7,101.2,101.8,103,100.8,101.2,101.6,100.5,100.8
2016年7月,101.1,102.2,100.9,100.7,100.9,101.2,100.9,101,103.4,102.2,101.4,101.3,101.1,101.6,101.7,101.5,102.3,101.6,101.9,101.3,102.3,101.2,101.4,101,101.6,102.7,100.5,100.9,101.3,101.1,100.7
2016年8月,101,102.2,100.7,100.3,100.7,100.9,100.9,100.7,103,101.9,101.4,101.1,100.7,101.5,101.6,101.3,101.8,101.2,101.7,100.9,102.7,101,100.9,100.7,101,102.4,100.3,100.6,101,101.4,100.7
2016年9月,101.6,102.6,101.7,101.2,101.1,101.8,101.7,101.4,103.6,102.3,102,101.8,101.7,101.9,102.5,101.9,102.3,101.7,102.3,101.2,103.2,101.3,101.8,101.2,101,102.7,101.1,100.9,101.7,102.3,101.5
2016年10月,101.9,102.6,102.1,101.4,101.1,101.7,102.3,101.5,103.5,102.6,102,102,101.8,102.2,102.6,102.1,102.2,102.1,102,100.9,103.2,101.7,102,101.3,101,102.7,101.5,101.1,102.1,102.4,101.9
2016年11月,102,102.5,101.8,101.5,101.5,101.5,101.9,101.5,103.7,102.3,102.4,102.3,102,102.5,102.6,102.1,102.4,102.5,102.7,101.4,103.6,102,102.5,101.5,101.3,102.9,101.5,101.2,102,102.3,102.4
2016年12月,102.1,102.8,101.9,101.2,101.5,101.7,102,101.5,103.3,102,102.1,101.8,101.9,102.3,102.6,102,102.2,102.3,102.4,101.2,103.8,101.7,102.5,101.5,101.2,103,101.2,101.4,101.9,102.5,102.3
2017年1月,102.9,103.4,102.3,101.9,102.1,102.3,102.7,101.9,103.6,102.3,102.8,102.4,102.2,102.5,102.8,102.3,103.2,102.8,103.1,102,104.2,101.9,102.6,101.8,101.5,102.8,101.5,101.7,102,102.6,102.8
2017年2月,101.1,102,100.7,99.9,100.9,100.6,101,100.5,101.6,101.5,101.3,100.3,99.8,100.7,101,100.5,101.4,101.2,100.3,100.4,101.6,100.1,100.8,100.4,100.9,102.4,99.7,100.3,100.5,100.3,101.5
2017年3月,101,101.8,100.7,100.5,100.8,100.5,101.3,100.2,101.4,101.7,101.6,100.7,100.7,101.2,100.7,100.3,101.2,101,101,100.7,102.1,99.8,100.9,100.5,100.8,102,100,100.2,100.1,100.7,101.2
2017年4月,101.9,102.4,101.2,101,100.9,100.7,101.3,100.3,101.6,101.8,101.9,101.4,100.8,101.3,101.2,100.6,101.2,101,101,100.7,102.8,100.2,101.2,100.6,100.6,101.3,101.1,100.4,99.8,101.3,101.5
2017年5月,102.5,102.7,101.7,101,101.4,100.6,101.4,100.6,101.8,101.9,102.4,101.5,101.4,101.8,101.6,100.8,101.3,101.4,101.4,101.4,103.3,100.6,101.5,101,100.8,101.2,101.8,100.8,101,101.8,102.1
2017年6月,102.5,102.8,101.8,100.9,101.7,100.9,101.3,100.6,101.5,101.6,102.2,101.1,101.4,101.8,101.6,101,101.3,101.4,101.4,101.5,102.8,100.8,101.4,101,100.7,101.2,102,101.3,101.6,101.7,102.1
2017年7月,101.7,101.6,101.7,101.1,101.9,100.9,101.4,100.9,101.1,101.4,102.1,100.8,101.4,101.9,101.3,101,101,101.5,101.6,101.7,102.9,101,101.3,101.1,100.8,101.4,102.1,101.4,101.6,101.3,101.7
2017年8月,101.9,101.8,101.9,101.7,102.3,101.2,101.7,102.5,101.7,101.9,102.2,101.4,101.6,102.3,101.7,101.5,101.6,101.6,101.7,102,102.9,101.3,101.8,100.9,101.1,101.5,102.7,101.8,102.3,101.6,101.9
2017年9月,101.6,101.5,101.9,101.1,102,101.7,101.7,102.1,101.7,101.7,102,101.2,101,103,101.2,101.8,101.3,101.5,101.5,102,102.7,101.7,101.4,100.8,100.9,101.7,102.2,102.1,102.3,101.4,102.8
2017年10月,101.8,102,102.4,101.4,102.3,102.2,101.6,102.3,101.5,101.8,102.4,101.6,101.1,102.8,101.7,102.1,101.8,101.3,101.9,102.4,103.1,101.5,101.4,100.8,101.1,101.5,102.2,102.1,102.3,101.9,103.1
2017年11月,102,101.8,102.4,101.3,102.2,102.4,101.8,102.2,101.2,101.6,102.2,101,101.3,102.4,101.7,102.1,101.6,101,101.4,102.2,102.9,101.6,101.3,101,101.1,101.5,102.1,102.4,102.2,102.3,102.8
2017年12月,102.2,101.6,102.1,101.5,101.9,102.3,101.7,102.2,101.5,101.7,102.4,101.4,101.4,102.3,101.7,102.3,101.7,101.4,101.8,102.4,102.9,101.6,101.4,101,101,101.3,102.3,102.2,102.2,102.3,102.7
2018年1月,101.4,101.2,101.7,100.7,101.3,102,101.2,101.8,101.1,101.8,101.7,101.5,101,102.2,101.4,102,101.2,101.3,101.1,101.7,102,101.2,101.1,100.9,100.9,101.3,102.3,102.1,102.2,101.9,102.2
2018年2月,102.9,102.5,103.2,102.1,102.5,103.5,102.7,103,102.6,102.6,103.3,103.1,102.8,102.9,103.1,103.1,102.8,102.4,103.3,103.3,103.9,103.1,102.6,102.5,101.6,101.5,102.9,102.6,103.1,102.8,102.8
2018年3月,102.5,101.8,102.5,101.4,102,103.1,101.9,102.4,101.6,101.8,102.3,101.7,101.5,102,102.3,102.5,101.8,101.8,102.2,102.5,103.3,101.9,101.4,101.5,101,101.5,102.2,102.6,102.7,102.1,102.3
2018年4月,102.5,101.5,102.2,101.2,101.6,102.9,101.7,101.9,101.4,101.7,102.2,101.1,101.2,101.9,102.2,102.2,101.5,101.6,101.8,102.1,102.4,101.5,101.2,101.4,101,101.6,101.6,102.1,102.5,102.2,102.5
2018年5月,102.3,101.9,102.1,101.3,101.5,102.8,101.8,101.9,101.4,101.8,101.8,101.2,101.1,101.9,102.2,102.4,101.5,101.5,101.7,101.7,101.9,101.3,101.1,101.3,101,101.7,101.6,102.1,102.2,102.4,102.4
2018年6月,102.2,101.9,102.1,101.5,101.5,102.7,102.2,102,101.2,102.1,102,101.5,101.1,102,102.3,102.5,101.6,101.6,101.8,101.7,102.5,101.7,101.3,101.3,101.2,101.9,101.6,102.1,102.1,102.5,102.3
2018年7月,102.8,102,102.5,101.6,101.4,102.8,102.2,102.3,101.3,102.5,102,102.1,101.3,102.1,102.5,102.4,101.9,101.6,101.8,101.8,102.3,102.2,101.7,101.6,101.4,101.9,101.9,102.1,102.2,102.6,102.6
2018年8月,102.9,102.2,102.9,101.8,101.8,103.4,102.9,101.7,101.8,102.7,102.2,102.3,101.5,102.3,102.9,102.3,101.8,102,102.3,102.3,102.9,102.1,102,102.1,101.7,101.9,101.8,102.1,102,102.4,102.5
2018年9月,102.8,102.3,103,102.8,102.2,102,102.5,101.8,101.5,103,102.9,102.6,101.9,102,103.2,102.2,102.5,102.4,102.8,102.7,102.7,102.3,101.9,101.9,102.2,101.6,102.4,101.8,102.8,102.5,101.5
2018年10月,103,102.2,102.7,102.9,102.3,101.8,102.5,102,102.2,102.9,102.8,102.4,102,102.3,103.1,102.2,102.5,102.8,102.7,103.1,102.3,102.6,102.3,102.5,102.6,101.9,102.6,102,103.1,102.6,101.2
2018年11月,102.4,102,102.4,102.4,101.9,101.5,102.1,101.6,101.9,102.6,102.2,102.3,101.5,101.9,102.3,101.9,102.2,102.6,102.4,102.6,101.7,102.4,102.1,102,102.4,101.8,102.3,101.5,102.9,102.1,101.2
2018年12月,102,101.8,102,101.9,101.6,101.3,101.7,101.2,101.2,102.2,102,102,101.2,101.7,102,101.5,102,102,102.1,102.3,101.7,102.2,102.1,101.8,101.9,102,102.1,101.5,102.6,101.9,100.9
2019年1月,101.9,101.7,101.9,101.8,101.6,100.8,101.4,101,101.1,102,102.1,101.2,101.5,101.6,101.9,101.2,101.8,101.7,102.4,102.4,102.1,102.2,102,101.9,101.6,102.2,101.8,101.3,102.3,102.1,100.6
2019年2月,101.6,101.8,101.7,101.6,101.4,100.8,101.5,101.2,101.7,101.8,101.6,101.3,100.7,101.6,101.5,101.2,101.5,101.5,101.7,101.7,101,101.2,101.4,101.2,101.5,102.3,102,101.6,101.5,102,100.9
2019年3月,101.9,102.4,102.5,102.5,102,101.6,102.3,101.9,102.2,102.5,102.5,102.4,101.8,102.6,102.7,102.3,102.3,102.1,102.4,102.5,101.5,102.2,102.1,101.9,101.9,102.2,102.6,102.1,102.3,102.5,101.7
2019年4月,101.6,102.9,102.9,102.7,102.3,101.9,102.7,102.6,102.4,102.7,102.7,102.9,102.1,102.8,102.8,102.8,102.7,102.5,102.7,102.7,102.1,102.7,102.4,101.9,102.1,101.9,102.7,102.2,102.2,102,101.6
2019年5月,101.8,102.3,103.3,102.9,102.4,102.2,102.9,102.5,102.6,103,103.2,102.8,102.4,102.6,102.8,102.9,103,102.9,103,103,103.1,103.1,102.5,102.1,102.3,101.9,102.7,102.7,102.1,102,101.9
2019年6月,102.6,102.2,103.2,102.8,102.3,102.4,103.3,102.8,102.7,102.9,102.7,102.4,102.5,102.4,102.8,102.7,103,102.6,103.2,103,102.8,102.2,102.1,101.9,102.3,102,102.7,102.5,102.3,102.1,101.8
2019年7月,102.6,102.3,102.9,103,102.6,102.4,103.3,103.1,102.8,102.9,102.9,102.2,102.7,102.5,103,103,102.8,102.5,103.2,104,103.4,102.3,102.3,101.9,102.3,102,102.9,102.4,102.8,101.9,102.3
2019年8月,102.4,102.4,102.3,102.4,102.2,102.2,102.8,102.9,102.3,102.8,103.1,102.5,102.9,103.2,102.5,103,103.1,103.4,103.5,105.2,103.8,102.7,103.2,101.8,102,102.1,102.5,102,102.8,101.4,102.4
2019年9月,102.4,102.8,102.4,102.2,102.1,102.5,102.9,103,102.2,103.4,102.9,102.8,102.8,103.2,103,103.3,103.4,103.5,103.6,104.5,104,102.5,104.2,102.6,102.1,102.4,102.7,101.9,101.9,101.3,102.2
2019年10月,102.3,103.3,103.6,103.2,102.7,103.5,103.9,103.9,102.6,104.1,103.1,103.7,103.4,103.6,104.3,104.2,104.1,103.8,104.6,104.7,104,103.3,105.2,103.2,103,102.8,103.6,102.4,102.6,101.8,102.4
2019年11月,103.2,104,104.3,103.8,103.3,104.1,104.4,104.4,103.2,104.8,103.9,104.4,104.4,103.9,105.6,105,104.7,104.4,105.3,105.5,106.8,103.7,105.5,104,104.2,103.1,104.2,103.3,103.2,102.8,102.8
2019年12月,103.3,104.1,104.4,103.8,103.6,104,104.4,104.2,103.8,104.7,103.9,104.4,104.4,104.2,105.5,104.6,104.7,104.2,105,105.3,106.5,104,105.4,104.2,105.1,103.1,104.1,103.1,103.4,102.8,102.9
2020年1月,104.5,104.6,105.1,105.5,104.3,105.5,105.7,105.3,104.3,105.4,104.7,105.7,104.9,105.1,106.2,105.8,105.5,104.8,106.6,105.9,106.3,104.9,106.1,105.1,106.1,103,104.9,103.5,104.1,103,103.7
2020年2月,103.6,103.8,104.7,105.2,103.8,104.9,104.8,105,103,105.2,104.4,105,104.8,105.4,105.7,105.9,106.4,104.9,105.9,106.2,105.8,105.8,106.9,105.3,106.3,103.1,105.3,103.6,104.5,103,103.1
2020年3月,103.2,103.5,103.8,104.3,103.2,104,104.1,104.4,102.8,104.2,103.5,104,103.9,103.9,104.8,104.8,106.3,104,104.9,105,105.2,104.2,105.7,104.6,105.3,102.8,103.9,102.7,103.7,102.5,102.4
2020年4月,102.4,102.6,102.6,103.3,102.3,102.8,103.2,103.3,102.5,103.4,102.5,102.9,103.1,102.9,103.6,103.4,104.3,103,104.1,104.6,104.6,102.7,104.4,103.8,104.5,102.4,102.8,102.3,103.2,101.9,101.7
2020年5月,101.9,102.2,101.7,102.9,101.7,102.2,102.3,102.4,102,102.8,101.7,102.3,102,102.3,102.9,102.3,102.4,102,103,103.5,102.8,102.1,103.6,102.7,103.6,102,102.2,101.5,102.7,101.1,100.9
